date,mode_line,ridership,mode,DayOfWeek,TypeOfDay
2022-09-29,lrt ampang,156950,LRT,Thursday,Weekday
2022-09-30,lrt ampang,160936,LRT,Friday,Weekday
2022-10-01,lrt ampang,116122,LRT,Saturday,Weekend
2022-10-02,lrt ampang,98055,LRT,Sunday,Weekend
2022-10-03,lrt ampang,158374,LRT,Monday,Weekday
2022-10-04,lrt ampang,162512,LRT,Tuesday,Weekday
2022-10-05,lrt ampang,163866,LRT,Wednesday,Weekday
2022-10-06,lrt ampang,161898,LRT,Thursday,Weekday
2022-10-07,lrt ampang,164935,LRT,Friday,Weekday
2022-10-08,lrt ampang,113894,LRT,Saturday,Weekend
2022-10-09,lrt ampang,102401,LRT,Sunday,Weekend
2022-10-10,lrt ampang,95038,LRT,Monday,Weekday
2022-10-11,lrt ampang,161625,LRT,Tuesday,Weekday
2022-10-12,lrt ampang,161413,LRT,Wednesday,Weekday
2022-10-13,lrt ampang,160827,LRT,Thursday,Weekday
2022-10-14,lrt ampang,163305,LRT,Friday,Weekday
2022-10-15,lrt ampang,104253,LRT,Saturday,Weekend
2022-10-16,lrt ampang,93832,LRT,Sunday,Weekend
2022-10-17,lrt ampang,157299,LRT,Monday,Weekday
2022-10-18,lrt ampang,160972,LRT,Tuesday,Weekday
2022-10-19,lrt ampang,164448,LRT,Wednesday,Weekday
2022-10-20,lrt ampang,164358,LRT,Thursday,Weekday
2022-10-21,lrt ampang,172207,LRT,Friday,Weekday
2022-10-22,lrt ampang,126259,LRT,Saturday,Weekend
2022-10-23,lrt ampang,106936,LRT,Sunday,Weekend
2022-10-24,lrt ampang,94237,LRT,Monday,Weekday
2022-10-25,lrt ampang,143924,LRT,Tuesday,Weekday
2022-10-26,lrt ampang,145891,LRT,Wednesday,Weekday
2022-10-27,lrt ampang,149982,LRT,Thursday,Weekday
2022-10-28,lrt ampang,152216,LRT,Friday,Weekday
2022-10-29,lrt ampang,101828,LRT,Saturday,Weekend
2022-10-30,lrt ampang,85914,LRT,Sunday,Weekend
2022-10-31,lrt ampang,150314,LRT,Monday,Weekday
2022-11-01,lrt ampang,157158,LRT,Tuesday,Weekday
2022-11-02,lrt ampang,157499,LRT,Wednesday,Weekday
2022-11-03,lrt ampang,157201,LRT,Thursday,Weekday
2022-11-04,lrt ampang,160658,LRT,Friday,Weekday
2022-11-05,lrt ampang,104667,LRT,Saturday,Weekend
2022-11-06,lrt ampang,93949,LRT,Sunday,Weekend
2022-11-07,lrt ampang,151803,LRT,Monday,Weekday
2022-11-08,lrt ampang,150193,LRT,Tuesday,Weekday
2022-11-09,lrt ampang,135603,LRT,Wednesday,Weekday
2022-11-10,lrt ampang,132122,LRT,Thursday,Weekday
2022-11-11,lrt ampang,136665,LRT,Friday,Weekday
2022-11-12,lrt ampang,90957,LRT,Saturday,Weekend
2022-11-13,lrt ampang,81764,LRT,Sunday,Weekend
2022-11-14,lrt ampang,141677,LRT,Monday,Weekday
2022-11-15,lrt ampang,152135,LRT,Tuesday,Weekday
2022-11-16,lrt ampang,161277,LRT,Wednesday,Weekday
2022-11-17,lrt ampang,161586,LRT,Thursday,Weekday
2022-11-18,lrt ampang,89991,LRT,Friday,Weekday
2022-11-19,lrt ampang,79947,LRT,Saturday,Weekend
2022-11-20,lrt ampang,81538,LRT,Sunday,Weekend
2022-11-21,lrt ampang,141156,LRT,Monday,Weekday
2022-11-22,lrt ampang,154721,LRT,Tuesday,Weekday
2022-11-23,lrt ampang,157174,LRT,Wednesday,Weekday
2022-11-24,lrt ampang,157011,LRT,Thursday,Weekday
2022-11-25,lrt ampang,158861,LRT,Friday,Weekday
2022-11-26,lrt ampang,142717,LRT,Saturday,Weekend
2022-11-27,lrt ampang,94343,LRT,Sunday,Weekend
2022-11-28,lrt ampang,85296,LRT,Monday,Weekday
2022-11-29,lrt ampang,133636,LRT,Tuesday,Weekday
2022-11-30,lrt ampang,160686,LRT,Wednesday,Weekday
2022-12-01,lrt ampang,158719,LRT,Thursday,Weekday
2022-12-02,lrt ampang,164755,LRT,Friday,Weekday
2022-12-03,lrt ampang,121916,LRT,Saturday,Weekend
2022-12-04,lrt ampang,98235,LRT,Sunday,Weekend
2022-12-05,lrt ampang,155870,LRT,Monday,Weekday
2022-12-06,lrt ampang,160070,LRT,Tuesday,Weekday
2022-12-07,lrt ampang,163403,LRT,Wednesday,Weekday
2022-12-08,lrt ampang,161393,LRT,Thursday,Weekday
2022-12-09,lrt ampang,170777,LRT,Friday,Weekday
2022-12-10,lrt ampang,114875,LRT,Saturday,Weekend
2022-12-11,lrt ampang,103791,LRT,Sunday,Weekend
2022-12-12,lrt ampang,145952,LRT,Monday,Weekday
2022-12-13,lrt ampang,157791,LRT,Tuesday,Weekday
2022-12-14,lrt ampang,158698,LRT,Wednesday,Weekday
2022-12-15,lrt ampang,158121,LRT,Thursday,Weekday
2022-12-16,lrt ampang,160770,LRT,Friday,Weekday
2022-12-17,lrt ampang,127553,LRT,Saturday,Weekend
2022-12-18,lrt ampang,124515,LRT,Sunday,Weekend
2022-12-19,lrt ampang,152009,LRT,Monday,Weekday
