date,mode_line,ridership,mode
22/7/2019,lrt ampang,202326,LRT
23/7/2019,lrt ampang,201995,LRT
24/7/2019,lrt ampang,202907,LRT
25/7/2019,lrt ampang,206953,LRT
26/7/2019,lrt ampang,226291,LRT
27/7/2019,lrt ampang,181336,LRT
28/7/2019,lrt ampang,113715,LRT
29/7/2019,lrt ampang,196671,LRT
30/7/2019,lrt ampang,112075,LRT
31/7/2019,lrt ampang,206642,LRT
1/8/2019,lrt ampang,206290,LRT
2/8/2019,lrt ampang,219047,LRT
3/8/2019,lrt ampang,135102,LRT
4/8/2019,lrt ampang,111183,LRT
5/8/2019,lrt ampang,205543,LRT
6/8/2019,lrt ampang,205029,LRT
7/8/2019,lrt ampang,208056,LRT
8/8/2019,lrt ampang,214012,LRT
9/8/2019,lrt ampang,233402,LRT
10/8/2019,lrt ampang,130949,LRT
11/8/2019,lrt ampang,107846,LRT
12/8/2019,lrt ampang,110487,LRT
13/8/2019,lrt ampang,189391,LRT
14/8/2019,lrt ampang,198949,LRT
15/8/2019,lrt ampang,203952,LRT
16/8/2019,lrt ampang,208329,LRT
17/8/2019,lrt ampang,139642,LRT
18/8/2019,lrt ampang,105868,LRT
19/8/2019,lrt ampang,202151,LRT
20/8/2019,lrt ampang,200783,LRT
21/8/2019,lrt ampang,202092,LRT
22/8/2019,lrt ampang,204858,LRT
23/8/2019,lrt ampang,215310,LRT
24/8/2019,lrt ampang,132392,LRT
25/8/2019,lrt ampang,105855,LRT
26/8/2019,lrt ampang,200830,LRT
27/8/2019,lrt ampang,200860,LRT
28/8/2019,lrt ampang,203171,LRT
29/8/2019,lrt ampang,206195,LRT
30/8/2019,lrt ampang,239780,LRT
31/8/2019,lrt ampang,130203,LRT
1/9/2019,lrt ampang,109399,LRT
2/9/2019,lrt ampang,111950,LRT
3/9/2019,lrt ampang,198633,LRT
4/9/2019,lrt ampang,199500,LRT
5/9/2019,lrt ampang,202333,LRT
6/9/2019,lrt ampang,231864,LRT
7/9/2019,lrt ampang,151491,LRT
8/9/2019,lrt ampang,131942,LRT
9/9/2019,lrt ampang,109299,LRT
10/9/2019,lrt ampang,219570,LRT
11/9/2019,lrt ampang,201990,LRT
12/9/2019,lrt ampang,204719,LRT
13/9/2019,lrt ampang,229205,LRT
14/9/2019,lrt ampang,148881,LRT
15/9/2019,lrt ampang,109530,LRT
16/9/2019,lrt ampang,108528,LRT
17/9/2019,lrt ampang,198566,LRT
18/9/2019,lrt ampang,197265,LRT
19/9/2019,lrt ampang,191367,LRT
20/9/2019,lrt ampang,203482,LRT
21/9/2019,lrt ampang,125702,LRT
22/9/2019,lrt ampang,101176,LRT
23/9/2019,lrt ampang,196337,LRT
24/9/2019,lrt ampang,196912,LRT
25/9/2019,lrt ampang,198886,LRT
26/9/2019,lrt ampang,204790,LRT
27/9/2019,lrt ampang,224414,LRT
28/9/2019,lrt ampang,146496,LRT
29/9/2019,lrt ampang,126166,LRT
30/9/2019,lrt ampang,201831,LRT
1/10/2019,lrt ampang,203898,LRT
2/10/2019,lrt ampang,206887,LRT
3/10/2019,lrt ampang,206964,LRT
4/10/2019,lrt ampang,224477,LRT
5/10/2019,lrt ampang,146600,LRT
6/10/2019,lrt ampang,118598,LRT
7/10/2019,lrt ampang,206879,LRT
8/10/2019,lrt ampang,206248,LRT
9/10/2019,lrt ampang,210187,LRT
10/10/2019,lrt ampang,211835,LRT
11/10/2019,lrt ampang,229245,LRT
12/10/2019,lrt ampang,144240,LRT
13/10/2019,lrt ampang,117250,LRT
14/10/2019,lrt ampang,209903,LRT
15/10/2019,lrt ampang,209617,LRT
16/10/2019,lrt ampang,211590,LRT
17/10/2019,lrt ampang,212513,LRT
18/10/2019,lrt ampang,225616,LRT
19/10/2019,lrt ampang,137092,LRT
20/10/2019,lrt ampang,120079,LRT
21/10/2019,lrt ampang,209023,LRT
22/10/2019,lrt ampang,209860,LRT
23/10/2019,lrt ampang,213635,LRT
24/10/2019,lrt ampang,222650,LRT
25/10/2019,lrt ampang,237448,LRT
26/10/2019,lrt ampang,139094,LRT
27/10/2019,lrt ampang,113955,LRT
28/10/2019,lrt ampang,108681,LRT
29/10/2019,lrt ampang,194294,LRT
30/10/2019,lrt ampang,202648,LRT
31/10/2019,lrt ampang,205205,LRT
1/11/2019,lrt ampang,222640,LRT
2/11/2019,lrt ampang,185297,LRT
3/11/2019,lrt ampang,122449,LRT
4/11/2019,lrt ampang,210396,LRT
5/11/2019,lrt ampang,208905,LRT
6/11/2019,lrt ampang,209303,LRT
7/11/2019,lrt ampang,213348,LRT
8/11/2019,lrt ampang,226778,LRT
9/11/2019,lrt ampang,136970,LRT
10/11/2019,lrt ampang,119522,LRT
11/11/2019,lrt ampang,208544,LRT
